Bremen Friedrich-Engels-Straße,53.050535,8.853241,02:54:43,2024-02-28,night,41,41,0,,,
Bremen BSAG-Zentrum,53.061065,8.786174,02:54:43,2024-02-28,night,23,23,0,,,
Bremen Stahlwerk Tor 3,53.130727,8.706355,02:54:43,2024-02-28,night,52,52,0,,,
Bremen Johann-Bornemacher-Straße,53.090596,8.786706,02:54:43,2024-02-28,night,29,29,0,,,
Bremen Klinikum Links der Weser,53.037377,8.822212,02:54:43,2024-02-28,night,40,40,0,,,
Bremen Neuenlander Kämpe,53.056372,8.784087,02:54:43,2024-02-28,night,44,44,0,,,
Bremen Rockwinkeler Heerstraße,53.091991,8.920181,02:54:43,2024-02-28,night,48,48,0,,,
Bremen Stresemannstraße,53.072578,8.857605,02:54:43,2024-02-28,night,37,37,0,,,
Bremen Tenever-Zentrum,53.061129,8.963829,02:54:43,2024-02-28,night,39,39,0,,,
Bremen Togostraße,53.124637,8.740288,02:54:43,2024-02-28,night,60,60,0,,,
Bremen Wilhelm-Herbst-Straße,53.111923,8.849904,02:54:43,2024-02-28,night,52,52,0,,,
Bremen Ulrichsplatz,53.072617,8.819835,02:54:43,2024-02-28,night,22,22,0,,,
Bremen Auf den Delben,53.141842,8.713751,02:54:43,2024-02-28,night,33,33,0,,,
Bremen Bollener Landstraße,53.034477,8.95256,02:54:43,2024-02-28,night,46,46,0,,,
Bremen Buschdeel,53.190115,8.543273,02:54:43,2024-02-28,night,53,53,0,,,
Bremen Eickedorfer Straße,53.092897,8.810399,02:54:43,2024-02-28,night,39,39,0,,,
Bremen Einkaufszentrum Blockdiek,53.073048,8.924736,02:54:43,2024-02-28,night,42,42,0,,,
Bremen Moorstücke,53.22748,8.511132,02:54:43,2024-02-28,night,65,65,0,,,
Neuenkirchen(Schwanewede) Landwehr,53.232616,8.513683,02:54:43,2024-02-28,night,64,64,0,,,
Bremen In der Laake,53.030451,8.845611,02:54:43,2024-02-28,night,39,39,0,,,
Bremen Witzlebenstraße,53.076859,8.90146,02:54:43,2024-02-28,night,35,35,0,,,
Bremen Wilseder-Berg-Straße,53.07319,8.879215,02:54:43,2024-02-28,night,28,28,0,,,
Bremen Ziegeleiweg,53.185773,8.637623,02:54:43,2024-02-28,night,36,36,0,,,
Bremen Oberste Kämpe,53.109801,8.882018,02:54:43,2024-02-28,night,46,46,0,,,
Bremen Ellenerbrokstraße,53.074048,8.947463,02:54:43,2024-02-28,night,36,36,0,,,
Bremen Lange Reihe,53.101724,8.778428,02:54:43,2024-02-28,night,23,23,0,,,
Bremen Landshuter Straße,53.094547,8.802868,02:54:43,2024-02-28,night,38,38,0,,,
Bremen Linzer Straße,53.10848,8.861101,02:54:43,2024-02-28,night,52,52,0,,,
Bremen Oberneulander Heerstraße,53.102234,8.912764,02:54:43,2024-02-28,night,46,46,0,,,
Bremen Nußhorn,53.044264,8.952185,02:54:43,2024-02-28,night,47,47,0,,,
Bremen Nürnberger Straße,53.094724,8.797048,02:54:43,2024-02-28,night,66,66,0,,,
Bremen Bahnhof Oberneuland,53.08762,8.938337,02:54:43,2024-02-28,night,36,36,0,,,
Bremen Kurfürstenallee,53.082209,8.854479,02:54:43,2024-02-28,night,35,35,0,,,
Bremen Krönkeskamp,53.104354,8.816635,02:54:43,2024-02-28,night,38,38,0,,,
Bremen Lachmundsdamm,53.058804,8.94127,02:54:43,2024-02-28,night,44,44,0,,,
Bremen Malthusstraße,53.03883,8.95983,02:54:43,2024-02-28,night,49,49,0,,,
