"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000000843406,000000843406,2,120,,,,
000000843407,000000843407,2,120,,,,
000000843404,000000843404,2,120,,,,
000000843405,000000843405,2,120,,,,
000000843403,000000843403,2,120,,,,
000000843400,000000843400,2,120,,,,
000000843401,000000843401,2,120,,,,
000000846918,000000846918,2,120,,,,
000000846919,000000846919,2,120,,,,
000008003000,000008003000,2,300,,,,
000008003002,000008003002,2,300,,,,
000008005511,000008005511,2,300,,,,
000008000090,000008000090,2,240,,,,
000008000093,000008000093,2,300,,,,
000008000096,000008000096,2,420,,,,
000008004819,000008004819,2,120,,,,
000008002946,000008002946,2,300,,,,
000008002944,000008002944,2,300,,,,
000008003064,000008003064,2,300,,,,
000008000191,000008000191,2,360,,,,
000008000193,000008000193,2,300,,,,
000008003348,000008003348,2,300,,,,
000008080630,000008080630,2,300,,,,
000008000192,000008000192,2,360,,,,
000008004919,000008004919,2,300,,,,
000008000196,000008000196,2,240,,,,
000008004913,000008004913,2,300,,,,
000000840108,000000840108,2,180,,,,
000001200130,000001200130,2,180,,,,
000000846916,000000846916,2,120,,,,
000000846917,000000846917,2,120,,,,
000000846914,000000846914,2,120,,,,
000000846915,000000846915,2,120,,,,
000000846912,000000846912,2,120,,,,
000000846913,000000846913,2,120,,,,
000000846910,000000846910,2,120,,,,
000000846911,000000846911,2,120,,,,
000008011544,000008011544,2,300,,,,
000008000239,000008000239,2,240,,,,
000008002581,000008002581,2,300,,,,
000008006091,000008006091,2,300,,,,
000008002584,000008002584,2,300,,,,
000008002585,000008002585,2,300,,,,
000008006095,000008006095,2,300,,,,
000008000238,000008000238,2,360,,,,
000008002580,000008002580,2,240,,,,
000008002586,000008002586,2,300,,,,
000008000233,000008000233,2,300,,,,
000008000235,000008000235,2,240,,,,
000000848106,000000848106,2,120,,,,
000000840104,000000840104,2,180,,,,
000000848105,000000848105,2,120,,,,
000000848104,000000848104,2,120,,,,
000000840102,000000840102,2,180,,,,
000000848103,000000848103,2,120,,,,
000000848102,000000848102,2,120,,,,
000000848101,000000848101,2,120,,,,
000000848101,000000848101,2,2760,"49773","49773",,
000000848101,000000848101,2,2760,"49773","51910",,
000000848100,000000848100,2,120,,,,
000008000512,000008000512,2,300,,,,
000008000513,000008000513,2,300,,,,
000008010115,000008010115,2,300,,,,
000008010079,000008010079,2,300,,,,
000008004302,000008004302,2,300,,,,
000008010073,000008010073,2,300,,,,
000008002628,000008002628,2,300,,,,
000008000753,000008000753,2,300,,,,
000008004266,000008004266,2,120,,,,
000008004267,000008004267,2,300,,,,
000008005834,000008005834,2,300,,,,
000008003961,000008003961,2,180,,,,
000008001392,000008001392,2,300,,,,
000008001393,000008001393,2,300,,,,
