stop_id;stop_name;stop_lat;stop_lon;number_of_building_sites
9014326;Bremen-Sebaldsbrück (Zug);53.061.133;8.887.807;0
9014112;Bremen Osterholzer Friedhof;53.059.850;8.914.326;0
9013744;Bremen Bahnhof Sebaldsbrück;53.062.197;8.887.576;1
9014184;Bremen Sebaldsbrück (Bus+Tram);53.059.469;8.899.647;0
9013935;Bremen Helmer;53.099.240;8.862.825;0
9014246;Bremen Universität/Zentralbereich;53.107.711;8.852.383;0
9014238;Bremen Trinidadstraße;53.060.028;8.893.732;0
9014142;Bremen Rennplatz;53.071.490;8.886.515;0
9014172;Bremen Schneverdinger Straße;53.076.633;8.880.817;0
9014069;Bremen Mercedes-Benz Tor 8;53.065.007;8.914.263;0
9014243;Bremen Universität-Nord;53.110.640;8.854.691;0
9013947;Bremen Hermann-Koenen-Straße;53.071.088;8.916.126;0
9013778;Bremen Bottroper Straße;53.071.947;8.920.571;0
9014133;Bremen Polizeipräsidium;53.079.174;8.878.882;0
9014245;Bremen Universität-Süd;53.105.197;8.850.888;0
9014068;Bremen Mercedes-Benz Tor 7;53.062.863;8.913.942;0
9013932;Bremen Heinrich-Hertz-Straße;53.082.918;8.874.987;0
9013803;Bremen Bürgermeister-Spitta-Allee;53.091.240;8.871.132;0
9013969;Bremen Horn (Horner Kirche);53.096.627;8.870.274;0
9014125;Bremen Parsevalstraße;53.067.143;8.887.862;0
9013876;Bremen Friedrich-Mißler-Straße;53.087.150;8.871.199;0
9014040;Bremen Lise-Meitner-Straße;53.103.608;8.855.622;0
9013761;Bremen Berufsbildungswerk;53.102.639;8.859.212;0
9014171;Bremen Schloßparkstraße;53.059.187;8.897.044;0
