"stop_name","line"
"Bremen Rosenpfad","1E"
"Bremen Carl-Goerdeler-Straße","1E"
"Bremen Schwankhalle","1E"
"Bremen Hansestraße","1E"
"Bremen Vorstraße","1E"
"Bremen Werner-von-Siemens-Straße","1E"
"Bremen Parkstraße","1E"
"Bremen Lindenhofstraße","1E"
"Bremen Höger Weg","1E"
"Bremen Neuenlander Straße","1E"
"Bremen Westerstraße","1E"
"Lilienthal Moorhauser Landstraße","1E"
"Bremen Altenescher Straße","1E"
"Lilienthal Trupe","1E"
"Lilienthal","1E"
"Bremen Haferkamp","1E"
"Bremen Robert-Koch-Straße","1E"
"Bremen Gröpelingen","1E"
"Bremen Am Lehester Deich","1E"
"Bremen Bahnhof Walle","1E"
"Bremen Solinger Straße","1E"
"Bremen Polizeipräsidium","1E"
"Bremen Schleiermacherstraße","1E"
"Bremen Kurt-Huber-Straße","1E"
"Bremen Osterholzer Landstraße","1E"
"Bremen Graubündener Straße","1E"
"Bremen Sielhof","1E"
"Lilienthal Truperdeich","1E"
"Bremen Bf Mahndorf","1E"
"Bremen Moorstraße","1E"
"Lilienthal Schoofmoor","1E"
"Bremen Bürgermeister-Spitta-Allee","1E"
"Bremen Falkenstraße","1E"
"Bremen Heukämpendamm","1E"
"Bremen Mülheimer Straße","1E"
"Bremen Hohwisch","1E"
"Bremen Hauptbahnhof","1E"
"Bremen Kirchweg","1E"
"Bremen Ellenerbrokstraße","1E"
"Bremen Berliner Freiheit","1E"
"Bremen Norderländer Straße","1E"
"Bremen Neuwieder Straße","1E"
"Bremen Daniel-von-Büren-Straße","1E"
"nan","1E"
"Bremen Schweizer Eck","1E"
"Bremen Bardenflethstraße","1E"
"Bremen Kirchbachstraße","1E"
"Bremen Am Neuen Markt","1E"
"Bremen Barbarossastraße","1E"
"Bremen Düsseldorfer Straße","1E"
"Bremen Borgfeld","1E"
"Bremen Sielwall","1E"
"Bremen Stader Straße/Hamburger Straße","1E"
"Bremen Waller Friedhof","1E"
"Lilienthal Lilienthal-Mitte","1E"
"Bremen Domsheide","1E"
"Bremen Daniel-Jacobs-Allee","1E"
"Bremen Twiedelftsweg","1E"
"Bremen St. Joseph-Stift","1E"
"Lilienthal Feldhäuser Straße","1E"
"Bremen Weserwehr","1E"
"Bremen Ulrichsplatz","1E"
"Bremen Horner Mühle","1E"
"Bremen Weserpark","1E"
"Bremen Klinikum Links der Weser","1E"
"Bremen Neuwieder Straße","1S"
"Bremen Engadiner Straße","1S"
"Bremen Erkelenzer Straße","1S"
"Bremen Schweizer Eck","1S"
"Bremen Kirchbachstraße","1S"
"Bremen Mülheimer Straße","1S"
"Bremen Graubündener Straße","1S"
"Bremen Osterholzer Landstraße","1S"
"Bremen Wilhelm-Leuschner-Straße","1S"
"Bremen Düsseldorfer Straße","1S"
"Bremen Berliner Freiheit","1S"
"Bremen Tenever-Zentrum","1S"
"Bremen Ellenerbrokstraße","1S"
"Bremen Hauptbahnhof","2"
"Bremen Hohwisch","2"
"Bremen Wartburgstraße","2"
"Bremen Waller Friedhof","2"
"Bremen BSAG-Zentrum","2"
"Bremen Bahnhof Sebaldsbrück","2"
"Bremen Daniel-von-Büren-Straße","2"
"Bremen Bennigsenstraße","2"
"Bremen Ulrichsplatz","2"
"Bremen Altenescher Straße","2"
"Bremen wohninvest WESERSTADION","2"
"Bremen Utbremer Straße","2"
"Bremen Bei den Drei Pfählen","2"
"Bremen Haferkamp","2"
"Bremen Am Hulsberg","2"
"Bremen Moorstraße","2"
"Bremen H.-H.-Meier-Allee","2"
"Bremen Lloydstraße","2"
"Bremen Nienburger Straße","2"
"Bremen Brahmsstraße","2"
"Bremen Gröpelingen","2"
"Bremen Joseph-Haydn-Straße","2"
"Bremen Schloßparkstraße","2"
"Bremen Georg-Bitter-Straße","2"
"Bremen Humboldtstraße","2"
"Bremen Brunnenstraße","2"
"Bremen Am Stern","2"
"Bremen Trinidadstraße","2"
"Bremen Bahnhof Walle","2"
"Bremen Wätjenstraße","2"
"Bremen Theater am Goetheplatz","2"
"Bremen Riensberg","2"
"Bremen Herdentor","2"
"Bremen Radio Bremen/VHS","2"
"Bremen Hauptbahnhof-Nord/Messe","2"
"Bremen Falkenstraße","2"
"Bremen Stader Straße/Hamburger Straße","2"
"Bremen Theater am Leibnizplatz","2"
"Bremen Am Dobben","2"
"Bremen Obernstraße","2"
"Bremen Malerstraße","2"
"Bremen Sielwall","2"
"Bremen Gustavstraße","2"
"Bremen Lindenhofstraße","2"
"Bremen Sebaldsbrück (Bus+Tram)","2"
"Bremen Emmastraße","2"
"Bremen Waller Straße","2"
"Bremen Domsheide","2"
"Bremen Föhrenstraße","2"
"Bremen Schüsselkorb","2"
"Bremen Doventor","2"
"Bremen Ludwig-Quidde-Straße","2"
"Bremen Hansestraße","2"
"Bremen Rembertistraße","2"
"Bremen St.-Jürgen-Straße","2"
"Bremen Am Brill (Hutfilter-/Obernstraße)","2"
"Bremen Weserwehr","2"
"Bremen St.-Magnus-Straße","20"
"Bremen Europahafen","20"
"Bremen Lange Reihe","20"
"Bremen Holsteiner Straße","20"
"Bremen Amselweg","20"
"Bremen Straubinger Straße","20"
"Bremen Konsul-Smidt-Straße","20"
"Bremen Bremervörder Straße","20"
"Bremen Bayernstraße","20"
"Bremen Karl-Peters-Straße","20"
"Bremen Hohweg","20"
"Bremen Bernauer Straße","20"
"Bremen Bahnhof Walle","20"
"Bremen Johann-Bornemacher-Straße","20"
"Bremen Trinidadstraße","21"
"Bremen Universität-Süd","21"
"Bremen Berufsbildungswerk","21"
"Bremen Parsevalstraße","21"
"Bremen Mercedes-Benz Tor 7","21"
"Bremen Helmer","21"
"Bremen Friedrich-Mißler-Straße","21"
"Bremen Rennplatz","21"
"Bremen Schloßparkstraße","21"
"Bremen Bahnhof Sebaldsbrück","21"
"Bremen Mercedes-Benz Tor 8","21"
"Bremen Universität-Nord","21"
"Bremen Schneverdinger Straße","21"
"Bremen Horn (Horner Kirche)","21"
"Bremen Osterholzer Friedhof","21"
"Bremen Sebaldsbrück (Bus+Tram)","21"
"Bremen Universität/Zentralbereich","21"
"Bremen Saarstraße","21"
"Bremen Polizeipräsidium","21"
"Bremen Lise-Meitner-Straße","21"
"Bremen Bürgermeister-Spitta-Allee","21"
"Bremen Heinrich-Hertz-Straße","21"
"Bremen Hermann-Koenen-Straße","21"
"Bremen Bottroper Straße","21"
"Bremen Parsevalstraße","21E"
"Bremen Berliner Freiheit","21E"
"Bremen Friedrich-Mißler-Straße","21E"
"Bremen Universität-Nord","21E"
"Bremen Bahnhof Sebaldsbrück","21E"
"Bremen Universität/Zentralbereich","21E"
"Bremen Helmer","21E"
"Bremen Horn (Horner Kirche)","21E"
"Bremen Universität-Süd","21E"
"Bremen Bürgermeister-Spitta-Allee","21E"
"Bremen Polizeipräsidium","21E"
"Bremen Berufsbildungswerk","21E"
"Bremen Heinrich-Hertz-Straße","21E"
"Bremen Bruchhauser Straße","22"
"Bremen Agnes-Heineken-Straße","22"
"Bremen Kurfürstenallee","22"
"Bremen Habenhauser Brückenstraße","22"
"Bremen Universität/Zentralbereich","22"
"Bremen Wiener Straße","22"
"Bremen Stader Straße/Bismarckstraße","22"
"Bremen Kulenkampffallee","22"
"Bremen Parkallee","22"
"Bremen Stader Straße/Hamburger Straße","22"
"Bremen Arensburgstraße","22"
"Bremen Am Stern","22"
"Bremen Crüsemannallee","22"
"Bremen Universität-Süd","22"
"Bremen Verdunstraße","22"
"Bremen Universität-Nord","22"
"Bremen Linzer Straße","22"
"Bremen Busestraße","22"
"Bremen Kirchbachstraße","22"
"Bremen Georg-Bitter-Straße","22"
"Bremen Munte","22"
"Bremen Karl-Carstens-Brücke","22"
"Bremen St. Joseph-Stift","22"
"Bremen Bei den Drei Pfählen","22"
"Bremen Anna-Stiegler-Straße","22"
"Bremen Universität-Ost","22"
"Bremen Borgwardstraße","22"
"Bremen Kattenturm-Mitte","22"
"Bremen Habenhauser Brückenstraße","22E"
"Bremen Universität-Nord","22E"
"Bremen Universität-Ost","22E"
"Bremen St. Joseph-Stift","22E"
"Bremen Stader Straße/Bismarckstraße","22E"
"Bremen Am Stern","22E"
"Bremen Karl-Carstens-Brücke","22E"
"Bremen Crüsemannallee","22E"
"Bremen Weserwehr","22E"
"Bremen Kurfürstenallee","22E"
"Bremen Busestraße","22E"
"Bremen Föhrenstraße","22E"
"Bremen Parkallee","22E"
"Bremen Wiener Straße","22E"
"Bremen Arensburgstraße","22E"
"Bremen Munte","22E"
"Bremen Stader Straße/Hamburger Straße","22E"
"Bremen Linzer Straße","22E"
"Bremen Kulenkampffallee","22E"
"Bremen Verdunstraße","22E"
"Bremen Bei den Drei Pfählen","22E"
"Bremen Universität-Süd","22E"
"Bremen Universität/Zentralbereich","22E"
"Bremen Georg-Bitter-Straße","22E"
"Bremen St. Joseph-Stift","24"
"Bremen Wilhelm-Kaisen-Brücke","24"
"Bremen Bürgerpark","24"
"Bremen Heinrich-Hertz-Straße","24"
"Bremen Wildeshauser Straße","24"
"Bremen Rablinghausen","24"
"Bremen Domsheide","24"
"Bremen Dötlinger Straße","24"
"Bremen Woltmershauser Friedhof","24"
"Bremen Bahnhof Neustadt","24"
"Bremen Brandenburger Straße","24"
"Bremen Hauptbahnhof-Nord/Messe","24"
"Bremen Akazienstraße","24"
"Bremen Friedrich-Stampfer-Straße","24"
"Bremen Kurfürstenallee","24"
"Bremen Neuer Schutzdeich","24"
"Bremen Am Stern","24"
"Bremen Neue Vahr Nord","24"
"Bremen Roccoweg","24"
"Bremen Rechtenflether Straße","24"
"Bremen August-Bebel-Allee","24"
"Bremen Herdentor","24"
"Bremen Stromer Straße","24"
"Bremen Loignystraße","24"
"Bremen Verdunstraße","24"
"Bremen Schüsselkorb","24"
"Bremen Otto-Braun-Straße","24"
"Bremen Philipp-Scheidemann-Straße","24"
"Bremen Hauptbahnhof","24"
"Bremen Lankenauer Höft","24"
"Bremen Westerstraße","24"
"Bremen Huder Straße","24"
"Bremen Ahrensstraße","24"
"Bremen Am Neuen Markt","24"
"Bremen Bakeweg","24"
"Bremen Hohentorsplatz","24"
"Bremen Stromer Straße","24E"
"Bremen Kriegerdenkmal","24E"
"Bremen Stumper","24E"
"Bremen Am Glockenstein","24E"
"Bremen Georg-Henschel-Straße","24E"
"Bremen Domsheide","24E"
"Bremen Hasenbürener Deich","24E"
"Bremen Herdentor","24E"
"Bremen Huder Straße","24E"
"Bremen Hasenbüren","24E"
"Bremen Wessels","24E"
"Bremen Hohentorsplatz","24E"
"Bremen Woltmershauser Friedhof","24E"
"Bremen Schüsselkorb","24E"
"Bremen Wildeshauser Straße","24E"
"Bremen Rechtenflether Straße","24E"
"Bremen Dötlinger Straße","24E"
"Bremen Hauptbahnhof","24E"
"Bremen Westerstraße","24E"
"Bremen Bahnhof Neustadt","24E"
"Bremen Akazienstraße","24E"
"Bremen Am Neuen Markt","24E"
"Bremen Hasenbüren Hagens","24E"
"Bremen Ortsamt Seehausen","24E"
"Bremen Ahrensstraße","24E"
"Bremen Neuer Schutzdeich","24E"
"Bremen Klärwerk","24E"
"Bremen-Seehausen Schule","24E"
"Bremen Reedeich-Nord","24E"
"Bremen Wilhelm-Kaisen-Brücke","24E"
"Bremen Klinikum Bremen-Mitte","25"
"Bremen Wilhelm-Busch-Weg","25"
"Bremen Grenzwehr","25"
"Bremen Herbststraße","25"
"Bremen Rembertistraße","25"
"Bremen Müdener Straße","25"
"Bremen Bottroper Straße","25"
"Bremen Hemmstraße","25"
"Bremen Stader Straße/Bismarckstraße","25"
"Bremen Rennplatz","25"
"Bremen Mercedes-Benz Tor 8","25"
"Bremen Georg-Gries-Straße","25"
"Bremen Hauptbahnhof","25"
"Bremen Dobbenweg","25"
"Bremen Steubenstraße","25"
"Bremen Stuttgarter Straße","25"
"Bremen Domsheide","25"
"Bremen Stresemannstraße","25"
"Bremen Julius-Brecht-Allee","25"
"Bremen Im Holter Feld","25"
"Bremen Radio Bremen/VHS","25"
"Bremen Am Brill (Martinistraße)","25"
"Bremen Stellichter Straße","25"
"Bremen Mercedes-Benz Tor 7","25"
"Bremen Fürther Straße","25"
"Bremen Theodor-Heuss-Allee","25"
"Bremen Utbremer Ring","25"
"Bremen Daniel-von-Büren-Straße","25"
"Bremen Schüsselkorb","25"
"Bremen Weidedamm-Süd","25"
"Bremen Martinistraße","25"
"Bremen Lohmannstraße","25"
"Bremen Emmentaler Straße","25"
"Bremen Herdentor","25"
"Bremen Friedrich-Karl-Straße","25"
"Bremen Einkaufszentrum Blockdiek","25"
"Bremen Krefelder Straße","25"
"Bremen Doventor","25"
"Bremen Klinikum Bremen-Ost","25"
"Bremen Schweizer Eck","25"
"Bremen Wilseder-Berg-Straße","25"
"Bremen Hermann-Koenen-Straße","25"
"Bremen Silbermannstraße","26"
"Bremen Marcuskaje","26"
"Bremen Überseetor","26"
"Bremen Kattenturm-Mitte","26"
"Bremen Bürgerpark","26"
"Bremen Friedrich-Engels-Straße","26"
"Bremen Willigstraße","26"
"Bremen Martin-Buber-Straße","26"
"Bremen Brenningstraße","26"
"Bremen Carsten-Dreßler-Straße","26"
"Bremen Eickedorfer Straße","26"
"Bremen Dithmarscher Freiheit","26"
"Bremen Hemmstraße","26"
"Bremen Huckelriede","26"
"Bremen Habenhauser Brückenstraße","26"
"Bremen Hauptbahnhof","26"
"Bremen Gottfried-Menken-Straße","26"
"Bremen Staustraße","26"
"Bremen Ehrenfelsstraße","26"
"Bremen Hermann-Helms-Straße","26"
"Bremen Hauptbahnhof-Nord/Messe","26"
"Bremen Gemeinschaftszentrum Obervieland","26"
"Bremen Westerstraße","26"
"Bremen Holsteiner Straße","26"
"Bremen Klinikum Haupteingang","26"
"Bremen Piependamm","26"
"Bremen Pappelstraße","26"
"Bremen Arster Landstraße","26"
"Bremen Waller Ring","26"
"Bremen In der Laake","26"
"Bremen Stenumer Straße","26"
"Bremen Helene-Lange-Straße","26"
"Bremen Meyerstraße","26"
"Bremen Friedhof Huckelriede","26"
"Bremen Am Brill (Bgm.-Smidt-Straße)","26"
"Bremen Lange Reihe","26"
"Bremen Am Wall","26"
"Bremen Pfarrfeldsweg","26"
"Bremen Fürther Straße","26"
"Bremen Bahnhof Walle","26"
"Bremen Delmestraße","26"
"Bremen Arster Kirche","26"
"Bremen Schlehenweg","26"
"Bremen Überseestadt-Nord","26"
"Bremen Gastfeldstraße","26"
"Bremen Cuxhavener Straße","26"
"Bremen Fontanestraße","26"
"Bremen Klinikum Links der Weser","26"
"Bremen Fellendsweg","26"
"Bremen Findorffallee","26"
"Bremen Hochschule Bremen","26"
"Bremen August-Hinrichs-Straße","26"
"Bremen Senator-Theil-Straße","26"
"Bremen August-Hinrichs-Straße","27"
"Bremen Hauptbahnhof-Nord/Messe","27"
"Bremen Am Wall","27"
"Bremen Delmestraße","27"
"Bremen Weidedamm-Nord","27"
"Bremen Innsbrucker Straße","27"
"Bremen Bürgerpark","27"
"Bremen Krimpelweg","27"
"Bremen Meyerstraße","27"
"Bremen Stenumer Straße","27"
"Bremen Klinikum Links der Weser","27"
"Bremen Rudolf-Alexander-Schröder-Straße","27"
"Bremen Kattenescher Weg","27"
"Bremen Utbremer Ring","27"
"Brinkum(Stuhr) IKEA/Marktkauf","27"
"Bremen Morsumer Straße","27"
"Bremen Gottfried-Menken-Straße","27"
"Bremen Am Brill (Bgm.-Smidt-Straße)","27"
"Bremen Alfred-Faust-Straße","27"
"Bremen Pappelstraße","27"
"Bremen Findorffallee","27"
"Bremen Willigstraße","27"
"Bremen Westerstraße","27"
"Bremen Hochschule Bremen","27"
"Bremen Hemmstraße","27"
"Bremen Hauptbahnhof","27"
"Bremen Huckelriede","27"
"Bremen Gastfeldstraße","27"
"Bremen Eickedorfer Straße","27"
"Bremen Ricarda-Huch-Straße","27"
"Bremen Arsterdamm","27"
"Bremen Kattenturm-Mitte","27"
"Bremen Wolfskuhlenweg","27"
"Brinkum-Nord Ochtum Park (IKEA)","27"
"Bremen Arsterdamm","27E"
"Bremen Wolfskuhlenweg","27E"
"Brinkum(Stuhr) IKEA/Marktkauf","27E"
"Bremen Alfred-Faust-Straße","27E"
"Bremen Krimpelweg","27E"
"Bremen Kattenescher Weg","27E"
"Bremen Kattenturm-Mitte","27E"
"Bremen Klinikum Links der Weser","27E"
"Brinkum-Nord Ochtum Park (IKEA)","27E"
"Bremen Morsumer Straße","27E"
"Bremen Huckelriede","27E"
"Bremen Campingplatz","28"
"Bremen Celsiusstraße","28"
"Bremen Krönkeskamp","28"
"Bremen Universität/Zentralbereich","28"
"Bremen Wiener Straße","28"
"Bremen Wilhelm-Herbst-Straße","28"
"Bremen Universität-Süd","28"
"Bremen Kuhgrabenweg","28"
"Bremen Stadtwaldsee","28"
"Bremen Ludwig-von-Kapff-Straße","29"
"Bremen Berliner Freiheit","29"
"Bremen Anna-Stiegler-Straße","29"
"Bremen Bordeaux-Straße","29"
"Bremen Mercedes-Benz Tor 8","29"
"Bremen Fuldahafen","29"
"Bremen Sebaldsbrück (Bus+Tram)","29"
"Bremen Bottroper Straße","29"
"Bremen Hermann-Funk-Straße","29"
"Bremen Agnes-Heineken-Straße","29"
"Bremen Osterholzer Friedhof","29"
"Bremen Bergener Straße","29"
"Bremen Friedrich-Stampfer-Straße","29"
"Bremen Wilhelm-Busch-Weg","29"
"Bremen Im Holter Feld","29"
"Bremen Werrahafen","29"
"Bremen Hannoversche Straße","29"
"Bremen Kattenturm-Mitte","29"
"Bremen Arberger Hafendamm","29"
"Bremen Kleine Marschstraße","29"
"Bremen Christernstraße","29"
"Bremen Mercedes-Benz Tor 7","29"
"Bremen Walther-Jacobs-Straße","29"
"Bremen Allerkai","29"
"Bremen Bruchhauser Straße","29"
"Bremen Hermann-Koenen-Straße","29"
"Bremen Witzlebenstraße","29"
"Bremen Neue Vahr Nord","29"
"Bremen Europaallee-Ost","29"
"Bremen Carl-Goerdeler-Straße","29"
"Bremen La-Rochelle-Straße","29"
"Bremen Glockenstraße/Bf Hemelingen","29"
"Bremen Saarstraße","29"
"Bremen Europaallee/Autohof","29"
"Bremen Am Brill (Bgm.-Smidt-Straße)","2E"
"Bremen Weserwehr","2E"
"Bremen Georg-Bitter-Straße","2E"
"Bremen Westerstraße","2E"
"Bremen Wartburgstraße","2E"
"Bremen Schleiermacherstraße","2E"
"Bremen Waller Straße","2E"
"Bremen Bahnhof Walle","2E"
"Bremen Schloßparkstraße","2E"
"Bremen Gastfeldstraße","2E"
"Bremen Föhrenstraße","2E"
"Bremen Doventor","2E"
"Bremen Am Neuen Markt","2E"
"Bremen Trinidadstraße","2E"
"Bremen Gustavstraße","2E"
"Bremen Lloydstraße","2E"
"Bremen Bennigsenstraße","2E"
"Bremen Bahnhof Sebaldsbrück","2E"
"Bremen BSAG-Zentrum","2E"
"Bremen Hansestraße","2E"
"Bremen Waller Friedhof","2E"
"Bremen Radio Bremen/VHS","2E"
"Bremen Hohwisch","2E"
"Bremen Utbremer Straße","2E"
"Bremen Ludwig-Quidde-Straße","2E"
"Bremen Sebaldsbrück (Bus+Tram)","2E"
"Bremen Haferkamp","2E"
"Bremen Theater am Leibnizplatz","2E"
"Bremen Malerstraße","2E"
"Bremen Elisabethstraße","3"
"Bremen Schloßparkstraße","3"
"Bremen Schüsselkorb","3"
"Bremen Wilhelm-Kaisen-Brücke","3"
"Bremen Herdentor","3"
"Bremen Westerstraße","3"
"Bremen Am Dobben","3"
"Bremen Domsheide","3"
"Bremen Am Brill (Hutfilter-/Obernstraße)","3"
"Bremen Daniel-von-Büren-Straße","3"
"Bremen Hohwisch","3"
"Bremen Hauptbahnhof-Nord/Messe","3"
"Bremen Rembertistraße","3"
"Bremen Malerstraße","3"
"Bremen Europahafen","3"
"Bremen Trinidadstraße","3"
"Bremen Weserwehr","3"
"Bremen Goosestraße","3"
"Bremen Jadestraße","3"
"Bremen Schleiermacherstraße","3"
"Bremen Humboldtstraße","3"
"Bremen BSAG-Zentrum","3"
"Bremen Lloydstraße","3"
"Bremen Stader Straße/Hamburger Straße","3"
"Bremen Ludwig-Quidde-Straße","3"
"Bremen Obernstraße","3"
"Bremen Brunnenstraße","3"
"Bremen Nienburger Straße","3"
"Bremen Bürgerpark","3"
"Bremen wohninvest WESERSTADION","3"
"Bremen St.-Jürgen-Straße","3"
"Bremen Waterfront (Use Akschen)","3"
"Bremen Föhrenstraße","3"
"Bremen Am Neuen Markt","3"
"Bremen Radio Bremen/VHS","3"
"Bremen Sielwall","3"
"Bremen Am Brill (Bgm.-Smidt-Straße)","3"
"Bremen Grasberger Straße","3"
"Bremen Gastfeldstraße","3"
"Bremen Doventor","3"
"Bremen Waller Ring","3"
"Bremen Hansator","3"
"Bremen Falkenstraße","3"
"Bremen Gröpelingen","3"
"Bremen Ulrichsplatz","3"
"Bremen Emder Straße","3"
"Bremen Hauptbahnhof","3"
"Bremen Theater am Leibnizplatz","3"
"Bremen Kap-Horn-Straße","3"
