stop_id,stop_name,stop_lat,stop_lon
9013701,Bremen Am Siek,53.063183,8.943653
9013699,Bremen Am Querkamp,53.095439,8.929975
9014051,Bremen Machandelweg,53.188245,8.629329
9013702,Bremen Am Sodenmatt,53.045803,8.718782
9014315,Bremen-Blumenthal Markt,53.181419,8.573693
9013771,Bremen Borchsholt,53.18305,8.634595
9014024,Bremen Kurt-Huber-Straße,53.078187,8.911485
9013691,Bremen Am Hallacker,53.068003,8.933838
9013695,Bremen Am Kapellenberg,53.164231,8.666018
9013737,Bremen Bahnhof Farge,53.205563,8.518154
9013766,Bremen Blumenhorster Straße,53.184611,8.604506
9013973,Bremen Humboldtstraße,53.075191,8.822637
9014249,Bremen Use Akschen,53.112431,8.75212
9014248,Bremen Upsalastraße,53.176795,8.717168
9014246,Bremen Universität/Zentralbereich,53.107711,8.852383
9014285,Bremen Weserwehr,53.063491,8.867964
9013754,Bremen Bei den Drei Pfählen,53.07121,8.85063
9013975,Bremen Höpkens Ruh,53.09323,8.933031
9014242,Bremen Umspannwerk,53.107559,8.817532
9014238,Bremen Trinidadstraße,53.060028,8.893732
9014281,Bremen Werrahafen,53.051821,8.882936
9013994,Bremen Karl-Carstens-Brücke,53.054136,8.851033
9013694,Bremen Am Hulsberg,53.07233,8.842746
9013693,Bremen Am Heiddamm,53.081534,8.939615
9013692,Bremen Am Heidbergstift,53.173944,8.697446
9014298,Bremen Willakedamm,53.04704,8.738244
9014296,Bremen Wilhelm-Röntgen-Straße,53.099801,8.886046
9014295,Bremen Wilhelm-Leuschner-Straße,53.079041,8.885502
9013891,Bremen Georg-Gries-Straße,53.071526,8.891394
9013890,Bremen Georg-Bitter-Straße,53.067212,8.854328
9013889,Bremen Gemeinschaftszentrum Obervieland,53.033976,8.830721
9013713,Bremen Apfelallee,53.100023,8.902449
9013712,Bremen Anna-Stiegler-Straße,53.040765,8.828041
9013710,Bremen An der Kämenade,53.059407,8.923097
9013714,Bremen Arberger Hafendamm,53.048331,8.883638
9013753,Bremen Beckers Barg,53.167736,8.709153
9013752,Bremen Bayernstraße,53.10645,8.795886
9013750,Bremen Barbarossastraße,53.079089,8.86074
9013703,Bremen Am Stern,53.084252,8.825747
9013709,Bremen An der Amtsweide,53.192782,8.534216
9014145,Bremen Ricardostraße,53.043253,8.970069
9014143,Bremen Rhododendronpark,53.090421,8.883697
9014142,Bremen Rennplatz,53.07149,8.886515
9013732,Bremen Aumunder Kirche,53.174872,8.624136
9013729,Bremen August-Bebel-Allee,53.085724,8.873569
9014173,Bremen Schorf,53.098408,8.892991
9014262,Bremen Vorlöhnhorster Weg,53.190798,8.635381
9014259,Bremen Von-Thünen-Straße Süd,53.039666,8.965659
9014258,Bremen Von-Thünen-Straße Nord,53.046056,8.969888
9014254,Bremen Vereinsstraße,53.176364,8.606265
9014098,Bremen Nienburger Straße,53.068827,8.843751
9014251,Bremen Utbremer Straße,53.095601,8.790945
9014257,Bremen Von-Ossietzky-Straße,53.138126,8.723107
9014292,Bremen Wilhelm-Busch-Weg,53.071391,8.906545
9014291,Bremen Wilhelm-Brandhorst-Straße,53.207915,8.514131
9014289,Bremen Wiener Straße,53.106152,8.845833
9014288,Bremen Wetterungsweg,53.11197,8.820089
9014294,Bremen Wilhelm-Kaisen-Brücke,53.072125,8.803444
9013885,Bremen Fürther Straße,53.099687,8.807555
