stop_name,stop_lat,stop_lon,current_time,current_date,daytime
Bremen BSAG-Zentrum,53.061065,8.786174,02:44:51,2024-02-16,night
Bremen Stahlwerk Tor 3,53.130727,8.706355,02:44:51,2024-02-16,night
Bremen Johann-Bornemacher-Straße,53.090596,8.786706,02:44:51,2024-02-16,night
Bremen Klinikum Links der Weser,53.037377,8.822212,02:44:51,2024-02-16,night
Bremen Neuenlander Kämpe,53.056372,8.784087,02:44:51,2024-02-16,night
Bremen Rockwinkeler Heerstraße,53.091991,8.920181,02:44:51,2024-02-16,night
Bremen Stresemannstraße,53.072578,8.857605,02:44:51,2024-02-16,night
Bremen Tenever-Zentrum,53.061129,8.963829,02:44:51,2024-02-16,night
Bremen Togostraße,53.124637,8.740288,02:44:51,2024-02-16,night
Bremen Wilhelm-Herbst-Straße,53.111923,8.849904,02:44:51,2024-02-16,night
Bremen Ulrichsplatz,53.072617,8.819835,02:44:51,2024-02-16,night
Bremen Auf den Delben,53.141842,8.713751,02:44:51,2024-02-16,night
Bremen Bollener Landstraße,53.034477,8.95256,02:44:51,2024-02-16,night
Bremen Buschdeel,53.190115,8.543273,02:44:51,2024-02-16,night
Bremen Eickedorfer Straße,53.092897,8.810399,02:44:51,2024-02-16,night
Bremen Einkaufszentrum Blockdiek,53.073048,8.924736,02:44:51,2024-02-16,night
Bremen Moorstücke,53.22748,8.511132,02:44:51,2024-02-16,night
Neuenkirchen(Schwanewede) Landwehr,53.232616,8.513683,02:44:51,2024-02-16,night
Bremen In der Laake,53.030451,8.845611,02:44:51,2024-02-16,night
Bremen Witzlebenstraße,53.076859,8.90146,02:44:51,2024-02-16,night
Bremen Wilseder-Berg-Straße,53.07319,8.879215,02:44:51,2024-02-16,night
Bremen Ziegeleiweg,53.185773,8.637623,02:44:51,2024-02-16,night
Bremen Oberste Kämpe,53.109801,8.882018,02:44:51,2024-02-16,night
Bremen Ellenerbrokstraße,53.074048,8.947463,02:44:51,2024-02-16,night
Bremen Lange Reihe,53.101724,8.778428,02:44:51,2024-02-16,night
Bremen Landshuter Straße,53.094547,8.802868,02:44:51,2024-02-16,night
Bremen Linzer Straße,53.10848,8.861101,02:44:51,2024-02-16,night
Bremen Oberneulander Heerstraße,53.102234,8.912764,02:44:51,2024-02-16,night
Bremen Nußhorn,53.044264,8.952185,02:44:51,2024-02-16,night
Bremen Nürnberger Straße,53.094724,8.797048,02:44:51,2024-02-16,night
Bremen Bahnhof Oberneuland,53.08762,8.938337,02:44:51,2024-02-16,night
Bremen Kurfürstenallee,53.082209,8.854479,02:44:51,2024-02-16,night
Bremen Krönkeskamp,53.104354,8.816635,02:44:51,2024-02-16,night
Bremen Lachmundsdamm,53.058804,8.94127,02:44:51,2024-02-16,night
Bremen Malthusstraße,53.03883,8.95983,02:44:51,2024-02-16,night
Bremen Mackensenweg,53.090624,8.90569,02:44:51,2024-02-16,night
Bremen Margaretenallee,53.178992,8.594592,02:44:51,2024-02-16,night
Bremen Hexenstieg,53.037864,8.944647,02:44:51,2024-02-16,night
Bremen Fultonstraße,53.114441,8.89599,02:44:51,2024-02-16,night
Bremen Bahnhof Kreinsloger,53.189963,8.558304,02:44:51,2024-02-16,night
Bremen Ludwig-Quidde-Straße,53.067635,8.862488,02:44:51,2024-02-16,night
Bremen Am Siek,53.063183,8.943653,02:44:51,2024-02-16,night
Bremen Am Querkamp,53.095439,8.929975,02:44:51,2024-02-16,night
