stop_name,stop_lat,stop_lon,Haltestelle,currentSpeed,freeFlowSpeed
Bremen Meyerstraße,53.064636,8.797028,Bremen Meyerstraße,24.0,37.0
Bremen Paul-Feller-Straße,53.055847,8.795915,Bremen Paul-Feller-Straße,20.0,20.0
Bremen Nauheimer Straße,53.044673,8.915057,Bremen Nauheimer Straße,43.0,43.0
Bremen Neuenlander Straße,53.066911,8.782459,Bremen Neuenlander Straße,17.0,29.0
Bremen Eppenhainer Straße,53.041521,8.931657,Bremen Eppenhainer Straße,43.0,43.0
Bremen Engadiner Straße,53.066433,8.95569,Bremen Engadiner Straße,23.0,40.0
Bremen Emmentaler Straße,53.069544,8.93453,Bremen Emmentaler Straße,46.0,46.0
Bremen Erkelenzer Straße,53.077937,8.920951,Bremen Erkelenzer Straße,120.0,120.0
Bremen Zum Kränholm,53.172469,8.67981,Bremen Zum Kränholm,45.0,45.0
Bremen Zum Huchtinger Bahnhof,53.05814,8.735178,Bremen Zum Huchtinger Bahnhof,31.0,51.0
Bremen Zum Donaufleet,53.181632,8.567805,Bremen Zum Donaufleet,35.0,51.0
Bremen Stader Straße/Hamburger Straße,53.068065,8.84893,Bremen Stader Straße/Hamburger Straße,24.0,31.0
Bremen Stackkamp,53.040671,8.904561,Bremen Stackkamp,30.0,41.0
Bremen Loignystraße,53.082555,8.860005,Bremen Loignystraße,51.0,51.0
Bremen Löhstraße,53.184836,8.59781,Bremen Löhstraße,32.0,44.0
Bremen Lohmannstraße,53.09316,8.803987,Bremen Lohmannstraße,26.0,38.0
Bremen Oslebshauser Landstraße,53.128701,8.729345,Bremen Oslebshauser Landstraße,61.0,61.0
Bremen Obervielander Straße,53.051864,8.740732,Bremen Obervielander Straße,17.0,41.0
Bremen Oewerweg,53.062134,8.931654,Bremen Oewerweg,36.0,36.0
Bremen Rastenburger Straße,53.21403,8.583092,Bremen Rastenburger Straße,32.0,51.0
Bremen Am Dobben,53.078596,8.823672,Bremen Am Dobben,21.0,21.0
Bremen Kirchbachstraße,53.085023,8.849847,Bremen Kirchbachstraße,20.0,35.0
Bremen Hohenbuchener Straße,53.21098,8.579634,Bremen Hohenbuchener Straße,32.0,51.0
Bremen Höger Weg,53.115513,8.894018,Bremen Höger Weg,29.0,41.0
Bremen Bockhorner Weg,53.192655,8.574816,Bremen Bockhorner Weg,35.0,47.0
Bremen Martin-Luther-Straße,53.188353,8.577122,Bremen Martin-Luther-Straße,45.0,45.0
Bremen Steenkuhlenweg,53.202561,8.571028,Bremen Steenkuhlenweg,38.0,38.0
Bremen Hegeweg,53.20506,8.574616,Bremen Hegeweg,38.0,38.0
Bremen Bahnhof Lesum,53.171129,8.684687,Bremen Bahnhof Lesum,39.0,50.0
Bremen Bardenflethstraße,53.060398,8.765164,Bremen Bardenflethstraße,51.0,51.0
Bremen Verdunstraße,53.081052,8.843632,Bremen Verdunstraße,41.0,50.0
Bremen Flämische Straße,53.052665,8.715193,Bremen Flämische Straße,9.0,13.0
Bremen Brenningstraße,53.037378,8.837386,Bremen Brenningstraße,31.0,38.0
Bremen-Lesum Kirche,53.169581,8.688774,Bremen-Lesum Kirche,28.0,35.0
Bremen Klinikum Haupteingang,53.036445,8.817585,Bremen Klinikum Haupteingang,33.0,43.0
Bremen Burgdammer Postweg,53.175454,8.706396,Bremen Burgdammer Postweg,23.0,38.0
Bremen Weidedamm-Nord,53.099911,8.820266,Bremen Weidedamm-Nord,26.0,38.0
Bremen Kattenescher Weg,53.030449,8.81252,Bremen Kattenescher Weg,29.0,38.0
Bremen Stedinger Brücke,53.094546,8.6664,Bremen Stedinger Brücke,58.0,58.0
Bremen Luley,53.088707,8.674244,Bremen Luley,58.0,58.0
Bremen Köhler Brücke,53.076718,8.722993,Bremen Köhler Brücke,58.0,58.0
Bremen Bakeweg,53.092162,8.7508,Bremen Bakeweg,36.0,36.0
Bremen Roccoweg,53.094408,8.748123,Bremen Roccoweg,36.0,36.0
Bremen Wildeshauser Straße,53.082939,8.768963,Bremen Wildeshauser Straße,30.0,38.0
Bremen Rablinghausen,53.096063,8.746105,Bremen Rablinghausen,30.0,38.0
Bremen Hemmstraße,53.094805,8.80845,Bremen Hemmstraße,27.0,39.0
Bremen Utbremer Ring,53.098252,8.812582,Bremen Utbremer Ring,27.0,39.0
Bremen Innsbrucker Straße,53.101476,8.814684,Bremen Innsbrucker Straße,27.0,39.0
Bremen Rudolf-Alexander-Schröder-Straße,53.100837,8.817501,Bremen Rudolf-Alexander-Schröder-Straße,26.0,38.0
Bremen Hohentorsplatz,53.072895,8.788779,Bremen Hohentorsplatz,17.0,28.0
Bremen Bahnhof Neustadt,53.075635,8.784052,Bremen Bahnhof Neustadt,36.0,36.0
Bremen Huder Straße,53.079615,8.776158,Bremen Huder Straße,30.0,38.0
Bremen Dötlinger Straße,53.081692,8.772089,Bremen Dötlinger Straße,36.0,36.0
Bremen Rechtenflether Straße,53.084331,8.766262,Bremen Rechtenflether Straße,36.0,36.0
Bremen Woltmershauser Friedhof,53.087386,8.76182,Bremen Woltmershauser Friedhof,36.0,36.0
Bremen Stromer Straße,53.088699,8.7536,Bremen Stromer Straße,20.0,31.0
Bremen Neuer Schutzdeich,53.085894,8.752739,Bremen Neuer Schutzdeich,20.0,31.0
Bremen Neustädter Hafen,53.088685,8.744386,Bremen Neustädter Hafen,56.0,56.0
Bremen Klärwerk,53.110187,8.716313,Bremen Klärwerk,53.0,53.0
Bremen-Seehausen Schule,53.110894,8.709551,Bremen-Seehausen Schule,55.0,55.0
Bremen Ortsamt Seehausen,53.11568,8.704411,Bremen Ortsamt Seehausen,53.0,53.0
Bremen Kriegerdenkmal,53.116712,8.700237,Bremen Kriegerdenkmal,53.0,53.0
Bremen Hasenbüren Hagens,53.116538,8.697117,Bremen Hasenbüren Hagens,53.0,53.0
Bremen Am Glockenstein,53.116764,8.690902,Bremen Am Glockenstein,53.0,53.0
Bremen Stumper,53.116457,8.683115,Bremen Stumper,55.0,55.0
Bremen Wessels,53.117578,8.678985,Bremen Wessels,55.0,55.0
Bremen Hasenbürener Deich,53.119649,8.674182,Bremen Hasenbürener Deich,55.0,55.0
Bremen Hasenbüren,53.120653,8.671538,Bremen Hasenbüren,55.0,55.0
Bremen Güterbahnhof Grolland,53.0795,8.741807,Bremen Güterbahnhof Grolland,51.0,51.0
Bremen GVZ-Verkehrsgewerbe Ost,53.083494,8.723576,Bremen GVZ-Verkehrsgewerbe Ost,103.0,103.0
Bremen GVZ-Zentralbereich,53.085385,8.717639,Bremen GVZ-Zentralbereich,103.0,103.0
Bremen Akazienstraße,53.078266,8.780314,Bremen Akazienstraße,36.0,36.0
Bremen Stahlwerk Tor 1,53.138303,8.714133,Bremen Stahlwerk Tor 1,27.0,34.0
Brinkum(Stuhr) Am Bahnhof,53.014159,8.784592,Brinkum(Stuhr) Am Bahnhof,41.0,49.0
Brinkum(Stuhr) Magdeburger Straße,53.014614,8.777611,Brinkum(Stuhr) Magdeburger Straße,41.0,49.0
Brinkum(Stuhr) Schule Feldstraße,53.011508,8.786621,Brinkum(Stuhr) Schule Feldstraße,27.0,41.0
Bremen Ludwig-von-Kapff-Straße,53.03218,8.885225,Bremen Ludwig-von-Kapff-Straße,50.0,50.0
Bremen Walther-Jacobs-Straße,53.034791,8.885128,Bremen Walther-Jacobs-Straße,48.0,48.0
Bremen Neuenkirchener Weg,53.201683,8.560562,Bremen Neuenkirchener Weg,38.0,38.0
Bremen Köhlhorster Straße,53.199311,8.563063,Bremen Köhlhorster Straße,28.0,35.0
Bremen Vorberger Straße,53.19698,8.565518,Bremen Vorberger Straße,32.0,37.0
Schwanewede Dreienkamp,53.222271,8.599175,Schwanewede Dreienkamp,35.0,40.0
Schwanewede Eichengrund,53.224913,8.59921,Schwanewede Eichengrund,35.0,40.0
Schwanewede Am Markt,53.22186,8.59456,Schwanewede Am Markt,34.0,42.0
Bremen Holthorster Weg,53.17346,8.675907,Bremen Holthorster Weg,37.0,45.0
Bremen Richthofenstraße,53.163958,8.661774,Bremen Richthofenstraße,39.0,46.0
Bremen Finkenschlag,53.163568,8.657023,Bremen Finkenschlag,39.0,46.0
Bremen Taunusstraße,53.164271,8.651447,Bremen Taunusstraße,46.0,46.0
Bremen Seefahrtstraße,53.16492,8.646217,Bremen Seefahrtstraße,46.0,46.0
Bremen Schönebecker Straße,53.166745,8.637522,Bremen Schönebecker Straße,46.0,46.0
Bremen Grohn-Markt,53.167045,8.631187,Bremen Grohn-Markt,46.0,46.0
Bremen Aumunder Heide,53.178094,8.618798,Bremen Aumunder Heide,33.0,33.0
Bremen Bahnhof Aumund,53.183713,8.618878,Bremen Bahnhof Aumund,17.0,33.0
Bremen Carsten-Dreßler-Straße,53.033829,8.844585,Bremen Carsten-Dreßler-Straße,32.0,39.0
Bremen Martinistraße,53.076764,8.803639,Bremen Martinistraße,11.0,17.0
Bremen Ricarda-Huch-Straße,53.101558,8.816116,Bremen Ricarda-Huch-Straße,62.0,62.0
Bremen Hochschule für Künste,53.097677,8.76963,Bremen Hochschule für Künste,39.0,50.0
Bremen Ahrensstraße,53.086041,8.747544,Bremen Ahrensstraße,55.0,55.0
Bremen Georg-Henschel-Straße,53.087941,8.736353,Bremen Georg-Henschel-Straße,55.0,55.0
Bremen Celsiusstraße,53.109664,8.848001,Bremen Celsiusstraße,52.0,52.0
Bremen Kuhgrabenweg,53.113815,8.844014,Bremen Kuhgrabenweg,52.0,52.0
Neuenkirchen(Schwanewede) Ahnten,53.234221,8.521228,Neuenkirchen(Schwanewede) Ahnten,64.0,64.0
Bremen Teneverstraße,53.057895,8.963148,Bremen Teneverstraße,24.0,40.0
Bremen Bahnhof Oslebshausen,53.135019,8.740205,Bremen Bahnhof Oslebshausen,45.0,64.0
Bremen Belmerstraße,53.052039,8.894824,Bremen Belmerstraße,23.0,31.0
Bremen Europaallee/Autohof,53.033943,8.891078,Bremen Europaallee/Autohof,81.0,81.0
Bremen Franz-Stickan-Straße,53.089813,8.723032,Bremen Franz-Stickan-Straße,65.0,65.0
Bremen Konsul-Smidt-Straße,53.087363,8.782517,Bremen Konsul-Smidt-Straße,20.0,26.0
Bremen Wasserweg,53.196219,8.531245,Bremen Wasserweg,21.0,41.0
Bremen Unterführung B75,53.062201,8.771863,Bremen Unterführung B75,47.0,47.0
Bremen Am Winterhafen,53.100743,8.763918,Bremen Am Winterhafen,39.0,50.0
Bremen Silbermannstraße,53.098142,8.76115,Bremen Silbermannstraße,36.0,36.0
Bremen Senator-Paulmann-Straße,53.070326,8.775482,Bremen Senator-Paulmann-Straße,39.0,52.0
Bremen Visbeker Straße,53.075759,8.761682,Bremen Visbeker Straße,55.0,55.0
Bremen Schuppen 1,53.089847,8.77721,Bremen Schuppen 1,30.0,44.0
Bremen Hüttenstraße Süd,53.126482,8.713954,Bremen Hüttenstraße Süd,34.0,51.0
Bremen Überseetor,53.094724,8.771681,Bremen Überseetor,30.0,44.0
Bremen Reedeich-Nord,53.081578,8.755375,Bremen Reedeich-Nord,59.0,59.0
Bremen Bromberger Straße,53.121091,8.761499,Bremen Bromberger Straße,23.0,35.0
Bremen Schwarzer Weg,53.12581,8.757589,Bremen Schwarzer Weg,25.0,36.0
Bremen Wasserhorster Straße,53.124666,8.760703,Bremen Wasserhorster Straße,122.0,122.0
Bremen Halmerweg,53.120739,8.76058,Bremen Halmerweg,23.0,35.0
Bremen Kalischer Straße,53.118385,8.765532,Bremen Kalischer Straße,23.0,35.0
Bremen De Kreienbarg,53.211112,8.512503,Bremen De Kreienbarg,41.0,50.0
Bremen Vor den Wischen,53.223023,8.508864,Bremen Vor den Wischen,53.0,53.0
Bremen Dirschauer Straße,53.116773,8.768244,Bremen Dirschauer Straße,22.0,35.0
Bremen In den Barken,53.114141,8.77,Bremen In den Barken,22.0,35.0
Bremen Am Hahnenkamp,53.062489,8.950732,Bremen Am Hahnenkamp,21.0,41.0
Bremen Buschdeel/Wendeplatz,53.190443,8.542791,Bremen Buschdeel/Wendeplatz,36.0,36.0
Bremen Bf Mahndorf,53.039958,8.944274,Bremen Bf Mahndorf,45.0,45.0
Bremen Bordeaux-Straße,53.03596,8.901992,Bremen Bordeaux-Straße,117.0,117.0
Bremen La-Rochelle-Straße,53.033155,8.899999,Bremen La-Rochelle-Straße,117.0,117.0
Bremen Lesum Park,53.173868,8.681091,Bremen Lesum Park,58.0,58.0
Bremen Kaspar-Ohm-Straße,53.184183,8.626388,Bremen Kaspar-Ohm-Straße,34.0,43.0
Bremen Fuldahafen,53.045253,8.883854,Bremen Fuldahafen,51.0,51.0
Bremen Ehrenfelsstraße,53.100322,8.757581,Bremen Ehrenfelsstraße,36.0,36.0
Bremen Überseestadt-Nord,53.102166,8.754545,Bremen Überseestadt-Nord,41.0,50.0
Bremen Bergener Straße,53.031468,8.903186,Bremen Bergener Straße,117.0,117.0
Bremen Europaallee-Ost,53.030228,8.90886,Bremen Europaallee-Ost,117.0,117.0
Bremen Marcuskaje,53.094487,8.767481,Bremen Marcuskaje,31.0,44.0
Bremen Schuppen 3,53.09244,8.773434,Bremen Schuppen 3,31.0,44.0
Schwanewede Zum Marktplatz,53.22268,8.592843,Schwanewede Zum Marktplatz,37.0,49.0
Bremen Schlehenweg,53.050084,8.857481,Bremen Schlehenweg,40.0,40.0
Bremen Fontanestraße,53.050385,8.843288,Bremen Fontanestraße,37.0,37.0
Bremen Am Gaswerkgraben,53.076707,8.776059,Bremen Am Gaswerkgraben,36.0,36.0
Bremen Auf dem Bohnenkamp,53.078226,8.771448,Bremen Auf dem Bohnenkamp,36.0,36.0
Bremen Alter Schutzdeich,53.074508,8.765604,Bremen Alter Schutzdeich,55.0,55.0
Brinkum(Stuhr) Marktplatz,53.010794,8.788817,Brinkum(Stuhr) Marktplatz,42.0,42.0
