stop_name,stop_lat,stop_lon,Haltestelle,currentSpeed,freeFlowSpeed
Bremen Oberneulander Heerstraße,53.102234,8.912764,Bremen Oberneulander Heerstraße,32.0,45.0
Bremen Nußhorn,53.044264,8.952185,Bremen Nußhorn,24.0,46.0
Bremen Nürnberger Straße,53.094724,8.797048,Bremen Nürnberger Straße,30.0,66.0
Bremen Bahnhof Oberneuland,53.08762,8.938337,Bremen Bahnhof Oberneuland,26.0,35.0
Bremen Kurfürstenallee,53.082209,8.854479,Bremen Kurfürstenallee,19.0,34.0
Bremen Krönkeskamp,53.104354,8.816635,Bremen Krönkeskamp,27.0,38.0
Bremen Lachmundsdamm,53.058804,8.94127,Bremen Lachmundsdamm,28.0,43.0
Bremen Malthusstraße,53.03883,8.95983,Bremen Malthusstraße,34.0,49.0
Bremen Margaretenallee,53.178992,8.594592,Bremen Margaretenallee,53.0,53.0
Bremen Hexenstieg,53.037864,8.944647,Bremen Hexenstieg,24.0,45.0
Bremen Bahnhof Kreinsloger,53.189963,8.558304,Bremen Bahnhof Kreinsloger,35.0,46.0
Bremen Ludwig-Quidde-Straße,53.067635,8.862488,Bremen Ludwig-Quidde-Straße,33.0,33.0
Bremen Am Siek,53.063183,8.943653,Bremen Am Siek,23.0,41.0
Bremen Am Querkamp,53.095439,8.929975,Bremen Am Querkamp,32.0,45.0
Bremen Machandelweg,53.188245,8.629329,Bremen Machandelweg,28.0,40.0
Bremen Am Sodenmatt,53.045803,8.718782,Bremen Am Sodenmatt,36.0,36.0
Bremen-Blumenthal Markt,53.181419,8.573693,Bremen-Blumenthal Markt,37.0,47.0
Bremen Borchsholt,53.18305,8.634595,Bremen Borchsholt,26.0,36.0
Bremen Kurt-Huber-Straße,53.078187,8.911485,Bremen Kurt-Huber-Straße,90.0,90.0
Bremen Am Hallacker,53.068003,8.933838,Bremen Am Hallacker,23.0,38.0
Bremen Am Kapellenberg,53.164231,8.666018,Bremen Am Kapellenberg,46.0,46.0
Bremen Bahnhof Farge,53.205563,8.518154,Bremen Bahnhof Farge,35.0,50.0
Bremen Blumenhorster Straße,53.184611,8.604506,Bremen Blumenhorster Straße,32.0,48.0
Bremen Upsalastraße,53.176795,8.717168,Bremen Upsalastraße,11.0,80.0
Bremen Weserwehr,53.063491,8.867964,Bremen Weserwehr,20.0,39.0
Bremen Bei den Drei Pfählen,53.07121,8.85063,Bremen Bei den Drei Pfählen,22.0,28.0
Bremen Höpkens Ruh,53.09323,8.933031,Bremen Höpkens Ruh,44.0,44.0
Bremen Trinidadstraße,53.060028,8.893732,Bremen Trinidadstraße,7.0,25.0
Bremen Werrahafen,53.051821,8.882936,Bremen Werrahafen,46.0,46.0
Bremen Am Heiddamm,53.081534,8.939615,Bremen Am Heiddamm,17.0,36.0
Bremen Am Heidbergstift,53.173944,8.697446,Bremen Am Heidbergstift,30.0,67.0
Bremen Willakedamm,53.04704,8.738244,Bremen Willakedamm,25.0,42.0
Bremen Wilhelm-Röntgen-Straße,53.099801,8.886046,Bremen Wilhelm-Röntgen-Straße,34.0,46.0
Bremen Wilhelm-Leuschner-Straße,53.079041,8.885502,Bremen Wilhelm-Leuschner-Straße,24.0,34.0
Bremen Georg-Gries-Straße,53.071526,8.891394,Bremen Georg-Gries-Straße,49.0,49.0
Bremen Georg-Bitter-Straße,53.067212,8.854328,Bremen Georg-Bitter-Straße,10.0,33.0
Bremen Gemeinschaftszentrum Obervieland,53.033976,8.830721,Bremen Gemeinschaftszentrum Obervieland,31.0,38.0
Bremen Apfelallee,53.100023,8.902449,Bremen Apfelallee,19.0,41.0
Bremen Anna-Stiegler-Straße,53.040765,8.828041,Bremen Anna-Stiegler-Straße,29.0,42.0
Bremen An der Kämenade,53.059407,8.923097,Bremen An der Kämenade,14.0,49.0
Bremen Arberger Hafendamm,53.048331,8.883638,Bremen Arberger Hafendamm,51.0,51.0
Bremen Beckers Barg,53.167736,8.709153,Bremen Beckers Barg,39.0,46.0
Bremen Barbarossastraße,53.079089,8.86074,Bremen Barbarossastraße,47.0,57.0
Bremen Am Stern,53.084252,8.825747,Bremen Am Stern,34.0,48.0
Bremen An der Amtsweide,53.192782,8.534216,Bremen An der Amtsweide,36.0,51.0
Bremen Ricardostraße,53.043253,8.970069,Bremen Ricardostraße,115.0,115.0
Bremen Rhododendronpark,53.090421,8.883697,Bremen Rhododendronpark,28.0,36.0
Bremen Rennplatz,53.07149,8.886515,Bremen Rennplatz,49.0,49.0
Bremen Aumunder Kirche,53.174872,8.624136,Bremen Aumunder Kirche,20.0,33.0
Bremen August-Bebel-Allee,53.085724,8.873569,Bremen August-Bebel-Allee,28.0,39.0
Bremen Schorf,53.098408,8.892991,Bremen Schorf,27.0,45.0
Bremen Vorlöhnhorster Weg,53.190798,8.635381,Bremen Vorlöhnhorster Weg,34.0,45.0
Bremen Von-Thünen-Straße Süd,53.039666,8.965659,Bremen Von-Thünen-Straße Süd,54.0,115.0
Bremen Von-Thünen-Straße Nord,53.046056,8.969888,Bremen Von-Thünen-Straße Nord,115.0,115.0
Bremen Vereinsstraße,53.176364,8.606265,Bremen Vereinsstraße,37.0,45.0
