stop_lat,stop_lon,Haltestelle,currentSpeed,freeFlowSpeed,Verkehrsauslastung in %
53.033976,8.830721,Bremen Gemeinschaftszentrum Obervieland,31.0,39.0,0.2051
53.100023,8.902449,Bremen Apfelallee,17.0,41.0,0.5854
53.040765,8.828041,Bremen Anna-Stiegler-Straße,30.0,42.0,0.2857
53.059407,8.923097,Bremen An der Kämenade,29.0,49.0,0.4082
53.048331,8.883638,Bremen Arberger Hafendamm,51.0,51.0,0.0
53.167736,8.709153,Bremen Beckers Barg,47.0,47.0,0.0
53.079089,8.86074,Bremen Barbarossastraße,57.0,57.0,0.0
53.084252,8.825747,Bremen Am Stern,37.0,47.0,0.2128
53.192782,8.534216,Bremen An der Amtsweide,36.0,51.0,0.2941
53.043253,8.970069,Bremen Ricardostraße,115.0,115.0,0.0
53.090421,8.883697,Bremen Rhododendronpark,28.0,35.0,0.2
53.07149,8.886515,Bremen Rennplatz,49.0,49.0,0.0
53.174872,8.624136,Bremen Aumunder Kirche,26.0,33.0,0.2121
53.085724,8.873569,Bremen August-Bebel-Allee,30.0,39.0,0.2308
53.098408,8.892991,Bremen Schorf,29.0,45.0,0.3556
53.190798,8.635381,Bremen Vorlöhnhorster Weg,35.0,44.0,0.2045
53.039666,8.965659,Bremen Von-Thünen-Straße Süd,30.0,115.0,0.7391
53.046056,8.969888,Bremen Von-Thünen-Straße Nord,115.0,115.0,0.0
53.176364,8.606265,Bremen Vereinsstraße,34.0,45.0,0.2444
53.138126,8.723107,Bremen Von-Ossietzky-Straße,27.0,27.0,0.0
53.071391,8.906545,Bremen Wilhelm-Busch-Weg,50.0,50.0,0.0
53.207915,8.514131,Bremen Wilhelm-Brandhorst-Straße,35.0,49.0,0.2857
53.106152,8.845833,Bremen Wiener Straße,30.0,39.0,0.2308
53.11197,8.820089,Bremen Wetterungsweg,52.0,52.0,0.0
53.099687,8.807555,Bremen Fürther Straße,25.0,38.0,0.3421
53.086218,8.891447,Bremen Friedrich-Stampfer-Straße,31.0,39.0,0.2051
53.103655,8.902444,Bremen An den Wühren,39.0,39.0,0.0
53.029962,8.823292,Bremen Alfred-Faust-Straße,31.0,39.0,0.2051
53.110403,8.769908,Bremen Altenescher Straße,20.0,34.0,0.4118
53.203363,8.524038,Bremen Betonstraße,37.0,50.0,0.26
53.189418,8.566792,Bremen Besanstraße,36.0,36.0,0.0
53.218184,8.509509,Bremen Rekumer Siel,49.0,49.0,0.0
53.049696,8.892448,Bremen Schlengstraße,26.0,32.0,0.1875
53.077599,8.94024,Bremen Schevemoorer Landstraße,34.0,44.0,0.2273
53.042111,8.9124,Bremen Sollingstraße,43.0,43.0,0.0
53.090669,8.92496,Bremen Simon-Hermann-Post-Weg,48.0,48.0,0.0
53.07075,8.82349,Bremen Sielwall,18.0,25.0,0.28
53.193991,8.545544,Bremen Bahnhof Turnerstraße,36.0,36.0,0.0
53.097205,8.816292,Bremen Stuttgarter Straße,39.0,39.0,0.0
53.191307,8.631397,Bremen Dobbheide,28.0,40.0,0.3
53.078669,8.826308,Bremen Dobbenweg,26.0,39.0,0.3333
53.102444,8.799509,Bremen Dithmarscher Freiheit,49.0,67.0,0.2687
53.188391,8.547833,Bremen Dillener Park,36.0,51.0,0.2941
