StartDate,Aktuelle Uhrzeit,Wochentag,Feiertag,Startzeit an der Anfangshaltestelle,Linie,Anzahl Haltestellen,Richtung,Anzahl Baustellen,Haltestelle,StopSequence,Ankunftsverspaetung in Sek.,Abfahrtsverspaetung in Sek.
2024-02-03,20:12:28,Saturday,0,20:03:00,6,25.0,Flughafen,0.0,Bremen Schüsselkorb,15.0,0,0
2024-02-03,20:12:28,Saturday,0,20:03:00,6,25.0,Universität,0.0,Bremen Flughafen-Süd,,0,135
2024-02-03,20:12:28,Saturday,0,20:03:00,6,25.0,Universität,0.0,Bremen Hauptbahnhof,11.0,135,0
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Schweizer Eck,,0,0
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Klinikum Bremen-Ost,1.0,42,42
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Grenzwehr,2.0,57,57
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Emmentaler Straße,3.0,87,87
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Krefelder Straße,4.0,134,134
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Im Holter Feld,9.0,104,104
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Georg-Gries-Straße,10.0,166,166
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Stellichter Straße,12.0,212,212
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Stader Straße/Bismarckstraße,18.0,250,250
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Friedrich-Karl-Straße,19.0,273,304
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Klinikum Bremen-Mitte,20.0,246,246
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Dobbenweg,21.0,172,172
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Hauptbahnhof,23.0,67,41
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Herdentor,24.0,62,62
2024-02-03,20:12:28,Saturday,0,19:39:00,25,39.0,Weidedamm-Süd,1.0,Bremen Schüsselkorb,25.0,92,92
2024-02-03,20:12:28,Saturday,0,19:59:00,25,39.0,Weidedamm-Süd,1.0,Bremen Schweizer Eck,,0,0
2024-02-03,20:12:28,Saturday,0,19:59:00,25,39.0,Weidedamm-Süd,1.0,Bremen Grenzwehr,2.0,23,23
2024-02-03,20:12:28,Saturday,0,19:59:00,25,39.0,Weidedamm-Süd,1.0,Bremen Emmentaler Straße,3.0,49,49
2024-02-03,20:12:28,Saturday,0,19:59:00,25,39.0,Weidedamm-Süd,1.0,Bremen Hermann-Koenen-Straße,7.0,15,15
2024-02-03,20:12:28,Saturday,0,19:59:00,25,39.0,Weidedamm-Süd,1.0,Bremen Wilhelm-Busch-Weg,8.0,14,14
2024-02-03,20:12:28,Saturday,0,19:59:00,25,39.0,Weidedamm-Süd,1.0,Bremen Im Holter Feld,9.0,46,46
2024-02-03,20:12:28,Saturday,0,19:59:00,25,39.0,Weidedamm-Süd,1.0,Bremen Georg-Gries-Straße,10.0,76,76
2024-02-03,20:12:28,Saturday,0,19:59:00,25,39.0,Weidedamm-Süd,1.0,Bremen Hauptbahnhof,23.0,76,0
2024-02-03,20:12:28,Saturday,0,19:59:00,25,39.0,Weidedamm-Süd,1.0,Bremen Herdentor,24.0,-30,-30
2024-02-03,20:12:28,Saturday,0,19:59:00,25,39.0,Weidedamm-Süd,1.0,Bremen Schüsselkorb,25.0,0,0
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Weidedamm-Süd,,0,0
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Stuttgarter Straße,1.0,13,13
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Utbremer Ring,2.0,43,43
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Fürther Straße,3.0,74,74
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Hemmstraße,4.0,104,104
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Lohmannstraße,5.0,60,60
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Theodor-Heuss-Allee,7.0,89,89
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Daniel-von-Büren-Straße,8.0,121,121
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Doventor,9.0,91,91
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Domsheide,13.0,53,53
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Schüsselkorb,14.0,83,83
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Herdentor,15.0,176,237
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Hauptbahnhof,16.0,209,119
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Rembertistraße,17.0,115,115
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Dobbenweg,18.0,125,125
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Friedrich-Karl-Straße,20.0,167,167
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Stader Straße/Bismarckstraße,21.0,124,124
2024-02-03,20:12:28,Saturday,0,19:26:00,25,39.0,Osterholz,1.0,Bremen Steubenstraße,23.0,164,164
